Letra Certa, Letra Predita, Saida da Rede
A, A, [0.9816434037031081, -0.988510830112633, -0.4721752655682459, -0.9993829409076166, -0.8090427461504431, -0.9551382177798705, -0.9942953124379623]
A, A, [0.9849344531915348, -0.9677075517364215, -0.9975301808940994, -0.9063597728110404, -0.9840717766091286, -0.9962054773066313, -0.892148561833196]
A, A, [0.8897264250406905, -0.9995543732385808, -0.9856880113551584, -0.9947375191974376, -0.954549731452852, -0.9829252770171455, -0.9578887940612972]
B, B, [-0.9896208992481268, -0.28112662736524935, -0.9865863035412235, -0.9911358808230512, -0.9680266627801969, -0.9993512876212137, -0.9933023419263523]
B, D, [-0.9820965060593576, -0.9018519884482389, -0.9994861562053918, -0.1194959299408112, -0.8944640206272111, -0.9999840865415002, -0.995145519964822]
B, E, [-0.9824729559134168, -0.9128729624270306, -0.9993478357699659, -0.8568055994091157, -0.7013216713397699, -0.9992862122032168, -0.9825753089561228]
C, C, [-0.9924092754115774, -0.885107822201284, 0.6070509031559088, -0.9724245940272565, -0.9812966940820781, -0.997565491073244, -0.9996892495272444]
C, C, [-0.9994603014271504, -0.9911641239529251, 0.9420542046297091, -0.9355355348748922, -0.991550329144546, -0.9757824817858215, -0.9793289999047793]
C, C, [-0.9991959432934684, -0.9055545200002677, 0.9659019625996643, -0.996420481929769, -0.9895817004131816, -0.9881740185868848, -0.9977582835204205]
D, D, [-0.9967609530640803, -0.9116664751734814, -0.9969345799656338, 0.8376069387646186, -0.9952395176532481, -0.999723705562286, -0.9984725908307028]
D, D, [-0.9977367575142296, -0.9504259449722657, -0.986857545546298, 0.9808998839041531, -0.9981988116914142, -0.9999072793762125, -0.998872637811322]
D, D, [-0.999055650404965, -0.9965216037451482, -0.9581867084349003, 0.3328564838362719, -0.9975358632159895, -0.9979660611907383, -0.9990343909436143]
E, E, [-0.9688396121834143, -0.8973165383972163, -0.9833688029709563, -0.9999137883346602, 0.8859344005317394, -0.9950063437695297, -0.9995560583216021]
E, E, [-0.9914366833166571, -0.9042979889832721, -0.9981441768549998, -0.9958550696155669, -0.5923309728184124, -0.80723766188845, -0.9997231566713909]
E, E, [-0.9510715196895424, -0.8516735854178772, -0.996878197594752, -0.9999113530739708, 0.9652993482321077, -0.9796188520193881, -0.9998355455550196]
J, J, [-0.9962469049717709, -0.9390417228937393, -0.9900461506710716, -0.9930827481960411, -0.9793534194936782, 0.8207489411685893, -0.9985692564189017]
J, J, [-0.9990723150267652, -0.994818915176005, -0.9907067163294552, -0.9935608134373904, -0.9953580245649323, 0.9658553306751925, -0.977754317371508]
J, J, [-0.9499564027595128, -0.9975764988302945, -0.40825534499252636, -0.909068654049979, -0.9995452953560074, 0.5788089957419095, -0.2605093479551303]
K, K, [-0.9635915901565824, -0.9778066787231902, -0.9891045198305126, -0.9902879971348978, -0.991276957532322, -0.9799197538423808, 0.983351016363635]
K, K, [-0.7616151033788847, -0.999984334743378, -0.9977194747975417, -0.96955658472595, -0.9941867111140069, -0.9015845573079992, 0.983931082769503]
K, K, [-0.9933211417318817, -0.9998912480380963, -0.9997487107743646, -0.995227104224878, -0.9921747453147927, -0.973055065069284, 0.8985278437653609]
